가파, 62, 157
자파, 63, 173
가마, 79, 172
파나, 93, 155
나차, 80, 186
나자, 58, 174
가차, 70, 183
파아, 66, 186
바아, 92, 147
나사, 79, 177
타아, 74, 193
사파, 89, 172
파파, 52, 160
다마, 83, 154
바파, 72, 155
사하, 98, 188
자하, 69, 176
가라, 95, 143
가바, 54, 159
다마, 77, 155
타아, 77, 166
카다, 97, 170
파사, 65, 163
다바, 84, 141
차바, 66, 190
다타, 65, 195
사가, 91, 176
라사, 74, 171
라차, 59, 167
카타, 43, 169
타타, 90, 145
다가, 90, 143
하카, 83, 186
차하, 58, 159
마차, 51, 187
차하, 84, 199
차사, 92, 174
자자, 54, 149
나사, 46, 170
하사, 99, 160
차나, 92, 199
마차, 70, 155
다자, 96, 167
나타, 70, 148
아라, 94, 188
마마, 41, 177
파가, 84, 161
하하, 71, 184
나다, 89, 192
파가, 52, 176
파자, 84, 145
라카, 52, 143
아파, 88, 148
자타, 81, 168
카바, 90, 157
자나, 90, 141
타하, 78, 190
차마, 86, 143
아마, 83, 147
다가, 82, 175
차다, 65, 158
카하, 41, 196
차아, 92, 165
마아, 60, 189
사바, 41, 158
라타, 50, 199
파차, 94, 196
자바, 92, 165
바타, 96, 152
바라, 87, 162
파타, 62, 188
나파, 45, 163
타하, 63, 167
파다, 65, 158
하자, 63, 152
타나, 98, 191
자사, 51, 148
마나, 61, 156
하파, 64, 164
나타, 78, 182
마차, 49, 193
마아, 75, 182
사아, 59, 170
바라, 89, 164
하타, 58, 172
카차, 44, 177
사마, 53, 182
사아, 42, 190
카차, 94, 159
바타, 76, 150
타카, 72, 177
아다, 47, 147
라카, 74, 192
아라, 89, 157
마차, 72, 196
아카, 43, 165
하라, 66, 148
하아, 48, 181
차라, 56, 149
가라, 80, 167
나가, 82, 153
바다, 85, 145
나가, 77, 168
다사, 92, 166
타카, 62, 142
아타, 91, 190
라사, 74, 162
카사, 99, 162
가라, 83, 180
마나, 75, 157
아사, 81, 153
차차, 42, 157
다카, 79, 186
다바, 82, 160
사차, 45, 186
마카, 40, 197
하바, 84, 192
아하, 71, 159
아차, 72, 164
가자, 67, 174
바사, 41, 191
파나, 68, 153
마나, 81, 177
마자, 86, 170
아파, 77, 187
하가, 85, 156
마자, 82, 189
자하, 40, 195
바나, 52, 188
나라, 45, 161
자파, 77, 188
바다, 96, 162
마자, 63, 194
사하, 53, 165
라카, 53, 165
가하, 93, 168
자카, 61, 165
파카, 98, 166
나타, 59, 167
라마, 83, 156
아가, 47, 157
타카, 73, 166
차타, 63, 187
라카, 50, 176
타아, 60, 161
라바, 75, 163
사가, 68, 193
나사, 44, 179
가차, 65, 175
사카, 43, 185
아라, 63, 151
마아, 88, 197
카자, 77, 148
아바, 73, 190
카자, 75, 175
아타, 79, 170
차다, 63, 188
차파, 81, 182
파바, 71, 173
라마, 69, 188
가파, 61, 171
다바, 74, 163
마자, 59, 165
다다, 43, 174
라다, 54, 198
사카, 49, 165
타라, 82, 181
하차, 70, 190
파가, 49, 171
마라, 78, 152
카파, 44, 151
사파, 56, 147
사마, 77, 142
라마, 91, 146
자아, 77, 166
카가, 50, 141
하라, 72, 142
카카, 55, 177
나나, 56, 182
나자, 90, 149
마카, 64, 142
가다, 94, 143
하바, 95, 182
나파, 54, 198
마카, 70, 191
라하, 48, 189
카카, 44, 168
파자, 60, 160
파나, 47, 164
카사, 47, 185
카다, 70, 181
마파, 40, 195
차파, 64, 143
바사, 61, 181
사가, 58, 190
바사, 70, 199
가나, 84, 154
라차, 97, 159
마하, 79, 180
바타, 97, 190
카차, 44, 198
차마, 98, 188
하마, 44, 184
파타, 61, 148
하나, 63, 164
차카, 80, 170
마다, 56, 147
차가, 91, 157
바하, 86, 151
라사, 60, 185
바가, 86, 165
카라, 46, 171
나가, 47, 151
가파, 58, 183
다하, 92, 182
하카, 85, 184
가사, 53, 183
사아, 89, 179
아라, 60, 164
카아, 60, 191
아자, 40, 188
다나, 97, 191
아파, 79, 144
가나, 99, 162
가바, 51, 181
하사, 66, 146
카카, 90, 145
파카, 41, 190
마라, 63, 146
마라, 78, 144
아차, 49, 151
파마, 56, 198
다차, 53, 167
하타, 51, 144
나다, 41, 191
마가, 56, 176
다다, 89, 194
사마, 64, 156
하자, 84, 182
나사, 82, 155
라차, 64, 151
카아, 49, 199
아하, 42, 159
차바, 62, 185
나파, 90, 142
아바, 99, 193
사차, 79, 184
차아, 83, 178
가카, 41, 188
아바, 97, 158
하나, 48, 184
다자, 58, 148
타라, 42, 183
가차, 80, 195
자마, 91, 144
나사, 98, 149
타카, 43, 179
사하, 45, 182
파사, 94, 171
아자, 96, 164
마라, 75, 174
파하, 93, 175
마아, 71, 149
나파, 42, 156
나카, 43, 167
바바, 81, 185
나다, 81, 184
마하, 58, 183
가마, 53, 160
차사, 74, 171
파바, 52, 142
마파, 93, 144
마타, 94, 192
차하, 85, 168
차다, 48, 157
바다, 61, 148
타타, 44, 195
파하, 48, 177
사차, 87, 198
카바, 40, 193
타다, 70, 156
하파, 96, 147
마다, 62, 174
라바, 92, 172
사파, 95, 186
사카, 62, 179
